TIMING,TYPE,NOTE_TYPE,ANGLE,EVENT_TYPE,DURATION,VALUE0,VALUE1,VALUE2,VALUE3,VALUE4
1635,0,0,90,,,,,,,
1635,1,,,0,,5,,,,
1816,0,0,90,,,,,,,
1998,0,0,90,,,,,,,
2180,0,0,90,,,,,,,
2362,0,0,90,,,,,,,
2362,0,0,90,,,,,,,
2362,0,0,90,,,,,,,
2362,0,0,90,,,,,,,
2725,0,0,90,,,,,,,
2725,0,0,90,,,,,,,
2907,0,0,90,,,,,,,
2907,0,0,90,,,,,,,
2907,0,0,90,,,,,,,
3271,0,0,90,,,,,,,
3271,0,0,90,,,,,,,
3453,0,0,90,,,,,,,
3453,0,0,90,,,,,,,
3635,0,0,90,,,,,,,
3635,0,0,90,,,,,,,
3816,0,0,90,,,,,,,
3816,0,0,90,,,,,,,
3816,0,0,90,,,,,,,
4180,0,0,90,,,,,,,
4180,0,0,90,,,,,,,
4362,0,0,90,,,,,,,
4362,0,0,90,,,,,,,
4725,0,0,90,,,,,,,
4725,0,0,90,,,,,,,
4907,0,0,90,,,,,,,
5089,0,0,90,,,,,,,
5271,0,0,90,,,,,,,
5271,0,0,90,,,,,,,
5271,0,0,90,,,,,,,
5271,0,0,90,,,,,,,
5635,0,0,90,,,,,,,
5635,0,0,90,,,,,,,
5635,0,0,90,,,,,,,
5998,0,0,90,,,,,,,
5998,0,0,90,,,,,,,
5998,0,0,90,,,,,,,
6180,0,0,90,,,,,,,
6362,0,0,90,,,,,,,
6544,0,0,90,,,,,,,
6725,0,0,90,,,,,,,
6725,0,0,90,,,,,,,
6725,0,0,90,,,,,,,
6725,0,0,90,,,,,,,
6907,0,0,90,,,,,,,
7089,0,0,90,,,,,,,
7271,0,0,90,,,,,,,
7271,0,0,90,,,,,,,
7635,0,0,90,,,,,,,
7816,0,0,90,,,,,,,
7998,0,0,90,,,,,,,
8180,0,0,90,,,,,,,
8180,0,0,90,,,,,,,
8362,0,0,90,,,,,,,
8544,0,0,90,,,,,,,
8635,0,0,90,,,,,,,
8907,0,0,90,,,,,,,
9089,0,0,90,,,,,,,
9271,0,0,90,,,,,,,
9453,0,0,90,,,,,,,
9635,0,0,90,,,,,,,
9635,0,0,90,,,,,,,
9998,0,0,90,,,,,,,
10180,0,0,90,,,,,,,
10362,0,0,90,,,,,,,
10544,0,0,90,,,,,,,
10725,0,0,90,,,,,,,
10907,0,0,90,,,,,,,
11089,0,0,90,,,,,,,
11089,0,0,90,,,,,,,
11453,0,0,90,,,,,,,
11635,0,0,90,,,,,,,
11998,0,0,90,,,,,,,
12180,0,0,90,,,,,,,
12362,0,0,90,,,,,,,
12544,0,0,90,,,,,,,
12544,0,0,90,,,,,,,
12725,0,0,90,,,,,,,
12907,0,0,90,,,,,,,
13089,0,0,90,,,,,,,
13453,0,0,90,,,,,,,
13635,0,0,90,,,,,,,
13816,0,0,90,,,,,,,
13998,0,0,90,,,,,,,
13998,0,0,90,,,,,,,
14362,0,0,90,,,,,,,
14544,0,0,90,,,,,,,
14907,0,0,90,,,,,,,
15089,0,0,90,,,,,,,
15271,0,0,90,,,,,,,
15453,0,0,90,,,,,,,
15453,0,0,90,,,,,,,
16180,0,0,90,,,,,,,
16362,0,0,90,,,,,,,
16544,0,0,90,,,,,,,
16725,0,0,90,,,,,,,
16907,0,0,90,,,,,,,
16907,0,0,90,,,,,,,
17089,0,0,90,,,,,,,
17180,0,0,90,,,,,,,
17271,0,0,90,,,,,,,
17453,0,0,90,,,,,,,
17635,0,0,90,,,,,,,
17816,0,0,90,,,,,,,
17998,0,0,90,,,,,,,
18180,0,0,90,,,,,,,
18362,0,0,90,,,,,,,
18362,0,0,90,,,,,,,
18544,0,0,90,,,,,,,
18725,0,0,90,,,,,,,
18907,0,0,90,,,,,,,
19271,0,0,90,,,,,,,
19453,0,0,90,,,,,,,
19635,0,0,90,,,,,,,
19816,0,0,90,,,,,,,
19816,0,0,90,,,,,,,
19998,0,0,90,,,,,,,
20180,0,0,90,,,,,,,
20271,0,0,90,,,,,,,
20544,0,0,90,,,,,,,
20725,0,0,90,,,,,,,
20907,0,0,90,,,,,,,
21089,0,0,90,,,,,,,
21271,0,0,90,,,,,,,
21271,0,0,90,,,,,,,
21635,0,0,90,,,,,,,
21635,0,0,90,,,,,,,
21635,0,0,90,,,,,,,
21816,0,0,90,,,,,,,
21816,0,0,90,,,,,,,
21816,0,0,90,,,,,,,
21998,0,0,90,,,,,,,
22180,0,0,90,,,,,,,
22362,0,0,90,,,,,,,
22544,0,0,90,,,,,,,
22725,0,0,90,,,,,,,
22725,0,0,90,,,,,,,
22725,0,0,90,,,,,,,
23453,0,0,90,,,,,,,
23453,0,0,90,,,,,,,
23635,0,0,90,,,,,,,
23816,0,0,90,,,,,,,
23998,0,0,90,,,,,,,
24180,0,0,90,,,,,,,
24362,0,0,90,,,,,,,
24544,0,0,90,,,,,,,
24725,0,0,90,,,,,,,
24907,0,0,90,,,,,,,
24907,0,0,90,,,,,,,
24907,0,0,90,,,,,,,
24907,0,0,90,,,,,,,
25635,0,0,90,,,,,,,
25635,0,0,90,,,,,,,
26362,0,0,90,,,,,,,
27089,0,0,90,,,,,,,
27089,0,0,90,,,,,,,
27816,0,0,90,,,,,,,
28544,0,0,90,,,,,,,
28544,0,0,90,,,,,,,
29271,0,0,90,,,,,,,
29998,0,0,90,,,,,,,
29998,0,0,90,,,,,,,
30725,0,0,90,,,,,,,
31453,0,0,90,,,,,,,
31453,0,0,90,,,,,,,
31453,0,0,90,,,,,,,
31725,0,0,90,,,,,,,
31998,0,0,90,,,,,,,
32271,0,0,90,,,,,,,
32453,0,0,90,,,,,,,
32635,0,0,90,,,,,,,
32907,0,0,90,,,,,,,
32907,0,0,90,,,,,,,
33180,0,0,90,,,,,,,
33453,0,0,90,,,,,,,
33635,0,0,90,,,,,,,
33816,0,0,90,,,,,,,
33907,0,0,90,,,,,,,
33998,0,0,90,,,,,,,
34089,0,0,90,,,,,,,
34180,0,0,90,,,,,,,
34271,0,0,90,,,,,,,
34362,0,0,90,,,,,,,
34362,0,0,90,,,,,,,
34635,0,0,90,,,,,,,
34907,0,0,90,,,,,,,
35271,0,0,90,,,,,,,
35271,0,0,90,,,,,,,
35271,0,0,90,,,,,,,
35453,0,0,90,,,,,,,
35453,0,0,90,,,,,,,
35635,0,0,90,,,,,,,
35635,0,0,90,,,,,,,
35816,0,0,90,,,,,,,
35816,0,0,90,,,,,,,
35816,0,0,90,,,,,,,
36089,0,0,90,,,,,,,
36362,0,0,90,,,,,,,
36544,0,0,90,,,,,,,
36544,0,0,90,,,,,,,
36725,0,0,90,,,,,,,
36907,0,0,90,,,,,,,
36907,0,0,90,,,,,,,
37089,0,0,90,,,,,,,
37271,0,0,90,,,,,,,
37271,0,0,90,,,,,,,
37453,0,0,90,,,,,,,
37635,0,0,90,,,,,,,
37635,0,0,90,,,,,,,
37816,0,0,90,,,,,,,
37998,0,0,90,,,,,,,
37998,0,0,90,,,,,,,
38180,0,0,90,,,,,,,
38362,0,0,90,,,,,,,
38362,0,0,90,,,,,,,
38544,0,0,90,,,,,,,
38725,0,0,90,,,,,,,
38725,0,0,90,,,,,,,
38907,0,0,90,,,,,,,
39089,0,0,90,,,,,,,
39089,0,0,90,,,,,,,
39271,0,0,90,,,,,,,
39453,0,0,90,,,,,,,
39453,0,0,90,,,,,,,
39635,0,0,90,,,,,,,
39816,0,0,90,,,,,,,
39816,0,0,90,,,,,,,
39998,0,0,90,,,,,,,
40180,0,0,90,,,,,,,
40180,0,0,90,,,,,,,
40362,0,0,90,,,,,,,
40544,0,0,90,,,,,,,
40544,0,0,90,,,,,,,
40725,0,0,90,,,,,,,
40907,0,0,90,,,,,,,
40907,0,0,90,,,,,,,
41089,0,0,90,,,,,,,
41271,0,0,90,,,,,,,
41271,0,0,90,,,,,,,
41453,0,0,90,,,,,,,
41635,0,0,90,,,,,,,
41635,0,0,90,,,,,,,
41998,0,0,90,,,,,,,
42362,0,0,90,,,,,,,
42544,0,0,90,,,,,,,
42725,0,0,90,,,,,,,
42907,0,0,90,,,,,,,
43089,0,0,90,,,,,,,
43089,0,0,90,,,,,,,
43271,0,0,90,,,,,,,
43453,0,0,90,,,,,,,
43635,0,0,90,,,,,,,
43816,0,0,90,,,,,,,
43816,0,0,90,,,,,,,
43998,0,0,90,,,,,,,
43998,0,0,90,,,,,,,
44180,0,0,90,,,,,,,
44180,0,0,90,,,,,,,
44362,0,0,90,,,,,,,
44544,0,0,90,,,,,,,
44544,0,0,90,,,,,,,
44725,0,0,90,,,,,,,
44907,0,0,90,,,,,,,
44907,0,0,90,,,,,,,
45089,0,0,90,,,,,,,
45089,0,0,90,,,,,,,
45271,0,0,90,,,,,,,
45453,0,0,90,,,,,,,
45635,0,0,90,,,,,,,
45816,0,0,90,,,,,,,
45998,0,0,90,,,,,,,
45998,0,0,90,,,,,,,
46180,0,0,90,,,,,,,
46180,0,0,90,,,,,,,
46362,0,0,90,,,,,,,
46362,0,0,90,,,,,,,
46544,0,0,90,,,,,,,
46544,0,0,90,,,,,,,
46725,0,0,90,,,,,,,
46907,0,0,90,,,,,,,
47089,0,0,90,,,,,,,
47271,0,0,90,,,,,,,
47453,0,0,90,,,,,,,
47453,0,0,90,,,,,,,
47816,0,0,90,,,,,,,
48180,0,0,90,,,,,,,
48180,0,0,90,,,,,,,
48362,0,0,90,,,,,,,
48544,0,0,90,,,,,,,
48725,0,0,90,,,,,,,
48907,0,0,90,,,,,,,
48907,0,0,90,,,,,,,
49635,0,0,90,,,,,,,
49816,0,0,90,,,,,,,
50362,0,0,90,,,,,,,
50362,0,0,90,,,,,,,
50544,0,0,90,,,,,,,
50725,0,0,90,,,,,,,
50907,0,0,90,,,,,,,
51089,0,0,90,,,,,,,
51089,0,0,90,,,,,,,
51271,0,0,90,,,,,,,
51453,0,0,90,,,,,,,
51635,0,0,90,,,,,,,
51816,0,0,90,,,,,,,
51816,0,0,90,,,,,,,
51998,0,0,90,,,,,,,
52180,0,0,90,,,,,,,
52362,0,0,90,,,,,,,
52544,0,0,90,,,,,,,
52544,0,0,90,,,,,,,
52907,0,0,90,,,,,,,
52907,0,0,90,,,,,,,
53271,0,0,90,,,,,,,
53271,0,0,90,,,,,,,
53998,0,0,90,,,,,,,
53998,0,0,90,,,,,,,
54725,0,0,90,,,,,,,
54725,0,0,90,,,,,,,
55453,0,0,90,,,,,,,
55635,0,0,90,,,,,,,
55816,0,0,90,,,,,,,
55907,0,0,90,,,,,,,
56180,0,0,90,,,,,,,
56180,0,0,90,,,,,,,
56907,0,0,90,,,,,,,
57271,0,0,90,,,,,,,
57271,0,0,90,,,,,,,
57635,0,0,90,,,,,,,
57635,0,0,90,,,,,,,
58362,0,0,90,,,,,,,
58544,0,0,90,,,,,,,
58725,0,0,90,,,,,,,
58725,0,0,90,,,,,,,
59089,0,0,90,,,,,,,
59180,0,0,90,,,,,,,
59271,0,0,90,,,,,,,
59635,0,0,90,,,,,,,
59725,0,0,90,,,,,,,
59816,0,0,90,,,,,,,
60180,0,0,90,,,,,,,
60271,0,0,90,,,,,,,
60362,0,0,90,,,,,,,
60725,0,0,90,,,,,,,
60907,0,0,90,,,,,,,
61089,0,0,90,,,,,,,
61271,0,0,90,,,,,,,
61453,0,0,90,,,,,,,
61635,0,0,90,,,,,,,
61725,0,0,90,,,,,,,
61998,0,0,90,,,,,,,
61998,0,0,90,,,,,,,
62725,0,0,90,,,,,,,
62725,0,0,90,,,,,,,
62816,0,0,90,,,,,,,
62907,0,0,90,,,,,,,
62998,0,0,90,,,,,,,
63089,0,0,90,,,,,,,
63180,0,0,90,,,,,,,
63271,0,0,90,,,,,,,
63362,0,0,90,,,,,,,
63453,0,0,90,,,,,,,
63453,0,0,90,,,,,,,
63453,0,0,90,,,,,,,
64180,0,0,90,,,,,,,
64180,0,0,90,,,,,,,
64180,0,0,90,,,,,,,
64544,0,0,90,,,,,,,
64544,0,0,90,,,,,,,
64907,0,0,90,,,,,,,
64907,0,0,90,,,,,,,
65089,0,0,90,,,,,,,
65271,0,0,90,,,,,,,
65453,0,0,90,,,,,,,
65635,0,0,90,,,,,,,
65635,0,0,90,,,,,,,
65816,0,0,90,,,,,,,
65998,0,0,90,,,,,,,
66180,0,0,90,,,,,,,
66362,0,0,90,,,,,,,
66362,0,0,90,,,,,,,
66544,0,0,90,,,,,,,
66725,0,0,90,,,,,,,
66907,0,0,90,,,,,,,
67089,0,0,90,,,,,,,
67089,0,0,90,,,,,,,
67453,0,0,90,,,,,,,
67635,0,0,90,,,,,,,
67816,0,0,90,,,,,,,
67816,0,0,90,,,,,,,
67998,0,0,90,,,,,,,
68180,0,0,90,,,,,,,
68544,0,0,90,,,,,,,
68544,0,0,90,,,,,,,
68907,0,0,90,,,,,,,
69271,0,0,90,,,,,,,
69271,0,0,90,,,,,,,
69453,0,0,90,,,,,,,
69635,0,0,90,,,,,,,
69816,0,0,90,,,,,,,
69998,0,0,90,,,,,,,
69998,0,0,90,,,,,,,
70180,0,0,90,,,,,,,
70362,0,0,90,,,,,,,
70544,0,0,90,,,,,,,
70725,0,0,90,,,,,,,
70725,0,0,90,,,,,,,
70907,0,0,90,,,,,,,
71089,0,0,90,,,,,,,
71271,0,0,90,,,,,,,
71453,0,0,90,,,,,,,
71453,0,0,90,,,,,,,
72180,0,0,90,,,,,,,
72362,0,0,90,,,,,,,
72453,0,0,90,,,,,,,
72544,0,0,90,,,,,,,
72635,0,0,90,,,,,,,
72725,0,0,90,,,,,,,
72816,0,0,90,,,,,,,
72907,0,0,90,,,,,,,
73180,0,0,90,,,,,,,
73453,0,0,90,,,,,,,
73816,0,0,90,,,,,,,
73998,0,0,90,,,,,,,
74180,0,0,90,,,,,,,
74362,0,0,90,,,,,,,
74362,0,0,90,,,,,,,
74635,0,0,90,,,,,,,
74907,0,0,90,,,,,,,
75089,0,0,90,,,,,,,
75089,0,0,90,,,,,,,
75453,0,0,90,,,,,,,
75816,0,0,90,,,,,,,
75816,0,0,90,,,,,,,
76180,0,0,90,,,,,,,
76544,0,0,90,,,,,,,
76544,0,0,90,,,,,,,
76907,0,0,90,,,,,,,
77271,0,0,90,,,,,,,
77271,0,0,90,,,,,,,
77635,0,0,90,,,,,,,
77998,0,0,90,,,,,,,
78180,0,0,90,,,,,,,
78271,0,0,90,,,,,,,
78362,0,0,90,,,,,,,
78453,0,0,90,,,,,,,
78544,0,0,90,,,,,,,
78635,0,0,90,,,,,,,
78725,0,0,90,,,,,,,
78998,0,0,90,,,,,,,
79271,0,0,90,,,,,,,
79635,0,0,90,,,,,,,
79816,0,0,90,,,,,,,
79998,0,0,90,,,,,,,
80180,0,0,90,,,,,,,
80180,0,0,90,,,,,,,
80453,0,0,90,,,,,,,
80725,0,0,90,,,,,,,
80907,0,0,90,,,,,,,
80907,0,0,90,,,,,,,
81271,0,0,90,,,,,,,
81635,0,0,90,,,,,,,
81635,0,0,90,,,,,,,
81998,0,0,90,,,,,,,
82362,0,0,90,,,,,,,
82362,0,0,90,,,,,,,
82725,0,0,90,,,,,,,
83089,0,0,90,,,,,,,
83089,0,0,90,,,,,,,
83453,0,0,90,,,,,,,
83816,0,0,90,,,,,,,
83816,0,0,90,,,,,,,
83998,0,0,90,,,,,,,
84180,0,0,90,,,,,,,
84362,0,0,90,,,,,,,
84544,0,0,90,,,,,,,
84544,0,0,90,,,,,,,
84907,0,0,90,,,,,,,
85089,0,0,90,,,,,,,
85271,0,0,90,,,,,,,
85271,0,0,90,,,,,,,
85453,0,0,90,,,,,,,
85635,0,0,90,,,,,,,
85998,0,0,90,,,,,,,
85998,0,0,90,,,,,,,
86180,0,0,90,,,,,,,
86362,0,0,90,,,,,,,
86544,0,0,90,,,,,,,
86725,0,0,90,,,,,,,
86725,0,0,90,,,,,,,
86907,0,0,90,,,,,,,
87089,0,0,90,,,,,,,
87271,0,0,90,,,,,,,
87453,0,0,90,,,,,,,
87453,0,0,90,,,,,,,
87816,0,0,90,,,,,,,
88180,0,0,90,,,,,,,
88180,0,0,90,,,,,,,
88362,0,0,90,,,,,,,
88544,0,0,90,,,,,,,
88725,0,0,90,,,,,,,
88907,0,0,90,,,,,,,
88907,0,0,90,,,,,,,
89089,0,0,90,,,,,,,
89271,0,0,90,,,,,,,
89453,0,0,90,,,,,,,
89635,0,0,90,,,,,,,
89635,0,0,90,,,,,,,
89816,0,0,90,,,,,,,
89998,0,0,90,,,,,,,
90180,0,0,90,,,,,,,
90362,0,0,90,,,,,,,
90362,0,0,90,,,,,,,
90725,0,0,90,,,,,,,
90907,0,0,90,,,,,,,
91089,0,0,90,,,,,,,
91089,0,0,90,,,,,,,
91271,0,0,90,,,,,,,
91453,0,0,90,,,,,,,
91816,0,0,90,,,,,,,
91816,0,0,90,,,,,,,
92544,0,0,90,,,,,,,
92544,0,0,90,,,,,,,
92725,0,0,90,,,,,,,
92907,0,0,90,,,,,,,
93089,0,0,90,,,,,,,
93271,0,0,90,,,,,,,
93271,0,0,90,,,,,,,
93453,0,0,90,,,,,,,
93635,0,0,90,,,,,,,
93816,0,0,90,,,,,,,
93998,0,0,90,,,,,,,
93998,0,0,90,,,,,,,
94180,0,0,90,,,,,,,
94362,0,0,90,,,,,,,
94544,0,0,90,,,,,,,
94725,0,0,90,,,,,,,
94725,0,0,90,,,,,,,
94907,0,0,90,,,,,,,
95089,0,0,90,,,,,,,
95271,0,0,90,,,,,,,
95453,0,0,90,,,,,,,
95453,0,0,90,,,,,,,
96180,0,0,90,,,,,,,
96907,0,0,90,,,,,,,
97635,0,0,90,,,,,,,
98362,0,0,90,,,,,,,
99089,0,0,90,,,,,,,
99816,0,0,90,,,,,,,
100544,0,0,90,,,,,,,
101271,0,0,90,,,,,,,
101998,0,0,90,,,,,,,
102725,0,0,90,,,,,,,
103453,0,0,90,,,,,,,
104180,0,0,90,,,,,,,
104907,0,0,90,,,,,,,
